customer_key,customer_id,first_purchase_date,last_purchase_date,total_revenue_usd,total_orders,region_key,segment_key,cohort_quarter,is_subscriber,rfm_score,clv_estimated_usd
30,CUST-000030,2023-11-14,2025-06-14,653.99,2,7,1,FY2024-Q1,True,14,2298.06
31,CUST-000031,2023-01-04,2024-10-10,686.74,1,13,3,FY2023-Q2,True,9,3082.70
32,CUST-000032,2024-01-12,2025-04-04,2928.75,4,13,21,FY2024-Q2,False,7,11561.75
33,CUST-000033,2023-12-11,2024-01-28,2098.75,7,7,51,FY2024-Q1,True,8,3308.65
34,CUST-000034,2021-02-04,2021-09-23,555.27,1,13,5,FY2021-Q2,False,9,1491.84
35,CUST-000035,2022-10-22,2025-10-07,299.32,1,2,1,FY2023-Q1,True,14,823.34
36,CUST-000036,2021-11-16,2023-09-11,6212.94,8,3,1,FY2022-Q1,True,13,24403.70
37,CUST-000037,2022-06-05,2025-09-29,9997.68,7,11,1,FY2022-Q3,True,13,36231.21
38,CUST-000038,2025-02-01,2025-02-18,1095.07,5,9,2,FY2025-Q2,False,11,3608.03
39,CUST-000039,2024-05-03,2025-10-04,2200.95,4,7,2,FY2024-Q3,False,11,8923.10
40,CUST-000040,2020-10-29,2024-12-22,1196.98,1,1,6,FY2021-Q1,False,8,2061.98
41,CUST-000041,2025-07-15,2025-09-09,594.00,6,31,1,FY2025-Q4,True,13,1086.43
42,CUST-000042,2022-06-02,2025-02-05,18447.83,9,10,3,FY2022-Q3,True,10,45101.13
43,CUST-000043,2023-09-10,2025-05-25,4549.89,4,2,34,FY2023-Q4,True,8,5690.31
44,CUST-000044,2021-06-30,2022-05-11,17154.09,9,11,4,FY2021-Q3,False,6,56313.98
45,CUST-000045,2024-04-29,2024-07-18,1630.14,2,8,1,FY2024-Q3,True,14,5623.89
46,CUST-000046,2021-10-05,2024-12-01,425.93,1,25,3,FY2022-Q1,True,10,733.16
47,CUST-000047,2022-12-27,2024-03-01,479.89,1,13,4,FY2023-Q1,False,7,610.61
48,CUST-000048,2019-12-19,2024-07-11,324.84,1,5,20,FY2020-Q1,False,9,1288.48
49,CUST-000049,2023-05-04,2024-08-20,706.63,1,3,3,FY2023-Q3,False,10,2018.08
50,CUST-000050,2022-12-12,2025-06-24,1967.63,9,6,1,FY2023-Q1,True,14,6726.79
51,CUST-000051,2025-09-08,2025-10-09,221.23,1,16,18,FY2025-Q4,False,8,694.27
52,CUST-000052,2023-09-06,2025-09-03,1806.87,4,8,54,FY2023-Q4,True,9,4306.90
53,CUST-000053,2025-03-15,2025-08-23,2330.67,3,3,4,FY2025-Q2,True,8,4390.10
54,CUST-000054,2023-06-10,2025-02-23,1237.57,4,4,1,FY2023-Q3,True,14,1949.23
55,CUST-000055,2022-01-04,2024-04-23,2354.21,4,35,34,FY2022-Q2,True,7,6633.90
56,CUST-000056,2024-09-14,2025-10-17,3316.87,2,19,15,FY2024-Q4,True,8,13701.00
57,CUST-000057,2023-11-09,2025-06-11,615.34,3,18,2,FY2024-Q1,True,10,1929.30
58,CUST-000058,2025-06-06,2025-09-25,2219.75,4,15,1,FY2025-Q3,True,14,5356.15
59,CUST-000059,2022-10-29,2025-12-12,1401.65,2,7,1,FY2023-Q1,False,14,4722.49
60,CUST-000060,2021-04-26,2024-12-14,4376.40,10,14,2,FY2021-Q3,True,12,6895.45
61,CUST-000061,2022-06-06,2025-12-18,548.94,2,7,1,FY2022-Q3,True,12,892.75
62,CUST-000062,2023-06-19,2024-07-10,471.16,2,9,2,FY2023-Q3,True,11,744.47
63,CUST-000063,2020-01-28,2025-11-14,3699.49,6,8,2,FY2020-Q2,True,11,13951.11
64,CUST-000064,2021-05-21,2023-11-01,1038.18,4,4,1,FY2021-Q3,True,12,1852.72
65,CUST-000065,2023-04-14,2024-12-06,7964.99,5,3,1,FY2023-Q3,True,13,30489.09
66,CUST-000066,2025-08-25,2025-10-02,354.05,1,28,18,FY2025-Q4,True,9,1186.44
67,CUST-000067,2025-03-06,2025-08-23,431.24,1,11,1,FY2025-Q2,True,13,1068.82
68,CUST-000068,2025-10-31,2025-11-30,1139.46,2,2,8,FY2026-Q1,False,4,5006.10
69,CUST-000069,2023-11-16,2024-08-13,26826.67,12,16,3,FY2024-Q1,False,9,77207.48
70,CUST-000070,2021-05-10,2023-10-29,4826.86,3,13,1,FY2021-Q3,True,14,18074.77
71,CUST-000071,2022-06-20,2024-02-28,298.14,2,10,32,FY2022-Q3,True,9,1326.32
72,CUST-000072,2024-02-03,2024-07-25,497.20,3,6,42,FY2024-Q2,True,8,747.12
73,CUST-000073,2025-03-24,2025-12-06,390.87,1,1,44,FY2025-Q2,True,7,1447.85
74,CUST-000074,2024-11-16,2025-10-13,766.92,1,2,32,FY2025-Q1,True,9,961.90
75,CUST-000075,2025-04-12,2025-11-03,2100.25,4,32,4,FY2025-Q3,False,7,2822.03
76,CUST-000076,2021-11-09,2022-08-07,703.23,1,7,2,FY2022-Q1,True,12,1922.11
77,CUST-000077,2022-10-08,2025-03-28,951.01,1,3,2,FY2023-Q1,False,12,2521.25
78,CUST-000078,2023-01-21,2024-09-22,242.24,1,6,3,FY2023-Q2,False,8,842.08
79,CUST-000079,2025-05-29,2025-09-05,5011.91,6,8,4,FY2025-Q3,False,8,13455.70
80,CUST-000080,2023-11-14,2025-12-01,1503.68,1,5,5,FY2024-Q1,False,9,2797.73
81,CUST-000081,2024-01-03,2025-07-02,239.14,2,17,1,FY2024-Q2,True,12,382.74
82,CUST-000082,2022-02-23,2025-04-05,563.22,1,21,1,FY2022-Q2,False,14,813.71
83,CUST-000083,2025-04-11,2025-08-30,508.38,1,4,47,FY2025-Q3,True,9,2111.43
84,CUST-000084,2025-07-02,2025-12-09,7690.20,7,13,31,FY2025-Q4,True,7,33300.14
85,CUST-000085,2025-06-07,2025-12-04,2471.55,6,3,2,FY2025-Q3,True,11,7913.85
86,CUST-000086,2021-09-05,2024-10-25,1057.27,3,6,2,FY2021-Q4,True,10,4627.53
87,CUST-000087,2025-09-12,2025-10-16,231.78,1,13,33,FY2025-Q4,False,8,688.64
88,CUST-000088,2025-04-02,2025-11-24,1890.24,3,30,2,FY2025-Q3,False,11,5747.93
89,CUST-000089,2022-08-15,2025-04-20,2397.04,2,13,3,FY2022-Q4,True,9,8482.74
90,CUST-000090,2023-08-07,2025-06-10,1080.50,1,17,4,FY2023-Q4,True,8,3868.09
91,CUST-000091,2024-04-12,2025-02-17,991.06,2,10,34,FY2024-Q3,False,9,1640.87
92,CUST-000092,2021-08-21,2022-10-11,3176.47,2,15,11,FY2021-Q4,False,7,13846.91
93,CUST-000093,2021-05-07,2025-01-24,7876.56,11,13,4,FY2021-Q3,False,7,30723.67
94,CUST-000094,2021-09-16,2024-07-15,158.64,1,13,1,FY2021-Q4,True,14,308.51
95,CUST-000095,2023-07-07,2024-08-02,8612.20,19,18,2,FY2023-Q4,True,10,36138.44
96,CUST-000096,2021-06-28,2024-09-25,1092.14,2,27,34,FY2021-Q3,True,7,4225.58
97,CUST-000097,2022-03-26,2022-11-21,2850.09,4,9,2,FY2022-Q2,True,11,9714.66
98,CUST-000098,2023-04-19,2024-03-17,7187.80,8,2,1,FY2023-Q3,True,13,24898.85
99,CUST-000099,2023-12-15,2024-06-13,3773.65,3,17,44,FY2024-Q1,False,9,14809.66
100,CUST-000100,2024-02-15,2025-07-31,396.05,1,17,3,FY2024-Q2,False,9,1532.19
101,CUST-000101,2023-09-14,2024-11-14,992.27,1,1,2,FY2023-Q4,True,10,4251.01
102,CUST-000102,2025-03-04,2025-07-24,5139.62,4,23,43,FY2025-Q2,True,9,22520.15
103,CUST-000103,2020-07-06,2025-03-20,295.79,1,23,22,FY2020-Q4,True,9,764.17
104,CUST-000104,2024-02-18,2024-08-14,992.01,2,21,17,FY2024-Q2,True,9,3719.42
105,CUST-000105,2024-11-29,2025-05-27,3195.79,4,1,2,FY2025-Q1,True,11,12122.13
106,CUST-000106,2024-11-20,2025-08-02,3500.00,1,12,1,FY2025-Q1,True,12,8014.54
107,CUST-000107,2022-02-28,2025-11-05,1282.72,4,25,2,FY2022-Q2,False,10,5506.24
108,CUST-000108,2024-04-23,2025-08-16,821.29,3,11,1,FY2024-Q3,False,13,3049.76
109,CUST-000109,2025-10-24,2025-12-17,550.66,1,12,48,FY2026-Q1,True,8,2417.11
110,CUST-000110,2025-05-13,2025-08-16,6495.18,11,1,34,FY2025-Q3,False,9,8834.08
111,CUST-000111,2025-05-29,2025-09-25,1569.92,3,11,12,FY2025-Q3,True,7,2438.33
112,CUST-000112,2023-07-14,2025-03-16,1646.53,1,23,21,FY2023-Q4,True,8,4025.21
113,CUST-000113,2024-05-14,2025-01-13,2292.59,4,4,34,FY2024-Q3,True,7,7192.36
114,CUST-000114,2024-11-06,2025-01-31,215.54,1,3,55,FY2025-Q1,False,9,788.88
115,CUST-000115,2022-07-12,2025-05-30,3193.83,7,12,2,FY2022-Q4,True,12,10795.84
116,CUST-000116,2020-06-24,2021-06-20,2310.82,6,1,2,FY2020-Q3,True,11,3552.57
117,CUST-000117,2021-05-19,2023-11-01,909.60,1,33,1,FY2021-Q3,True,14,2234.36
118,CUST-000118,2022-01-27,2024-08-17,218.86,1,13,1,FY2022-Q2,True,13,267.52
119,CUST-000119,2023-11-21,2024-10-09,1346.77,5,16,3,FY2024-Q1,True,9,5921.47
120,CUST-000120,2022-11-29,2023-10-13,1189.38,2,12,9,FY2023-Q1,False,9,3239.10
121,CUST-000121,2025-01-30,2025-11-21,596.46,3,17,25,FY2025-Q2,True,9,1659.04
122,CUST-000122,2023-01-26,2024-09-18,5062.31,4,7,6,FY2023-Q2,True,8,17392.36
123,CUST-000123,2025-11-20,2025-12-13,1109.92,4,13,3,FY2026-Q1,True,8,3100.17
124,CUST-000124,2025-04-01,2025-11-24,2818.70,7,17,3,FY2025-Q3,True,8,10918.55
125,CUST-000125,2021-03-18,2024-03-20,2780.17,1,5,2,FY2021-Q2,True,12,9366.72
126,CUST-000126,2024-09-18,2025-09-07,3225.10,8,3,8,FY2024-Q4,False,5,7205.63
127,CUST-000127,2025-03-25,2025-08-22,1468.01,4,3,2,FY2025-Q2,True,11,3787.74
128,CUST-000128,2023-12-02,2024-05-20,787.14,3,10,1,FY2024-Q1,True,12,2203.37
129,CUST-000129,2022-01-29,2023-12-19,2171.90,3,5,1,FY2022-Q2,True,13,3811.88
130,CUST-000130,2021-12-21,2022-09-25,5278.69,6,32,1,FY2022-Q1,False,12,11520.42
131,CUST-000131,2023-06-02,2025-09-30,2164.44,7,4,1,FY2023-Q3,True,13,6399.22
132,CUST-000132,2023-08-14,2024-10-03,453.07,2,17,1,FY2023-Q4,True,13,1782.37
133,CUST-000133,2024-07-24,2025-05-07,2695.31,15,6,47,FY2024-Q4,True,8,6145.45
134,CUST-000134,2019-11-19,2024-06-18,272.03,1,4,1,FY2020-Q1,False,13,817.76
135,CUST-000135,2020-09-18,2025-12-12,410.49,1,15,7,FY2020-Q4,True,7,906.44
136,CUST-000136,2023-07-26,2023-10-02,442.53,1,2,2,FY2023-Q4,True,10,681.75
137,CUST-000137,2023-10-12,2025-10-14,1265.38,2,5,41,FY2024-Q1,True,7,3980.37
138,CUST-000138,2024-03-06,2025-01-21,5817.47,4,22,7,FY2024-Q2,False,7,18632.53
139,CUST-000139,2021-08-17,2023-11-15,343.97,1,22,2,FY2021-Q4,True,10,1278.53
140,CUST-000140,2025-05-20,2025-10-18,333.99,2,14,2,FY2025-Q3,True,12,1415.80
141,CUST-000141,2021-07-22,2025-02-03,1049.92,7,1,8,FY2021-Q4,False,3,1673.74
142,CUST-000142,2025-06-20,2025-10-03,781.86,1,24,23,FY2025-Q3,True,8,1639.98
143,CUST-000143,2021-01-30,2024-04-19,1065.08,3,13,15,FY2021-Q2,True,9,1287.12
144,CUST-000144,2020-04-02,2025-05-15,8600.64,7,3,8,FY2020-Q3,True,3,33149.58
145,CUST-000145,2022-07-20,2025-12-15,263.97,1,10,4,FY2022-Q4,False,6,954.81
146,CUST-000146,2025-04-18,2025-05-12,279.42,1,6,1,FY2025-Q3,False,13,789.00
147,CUST-000147,2021-04-02,2025-08-12,972.24,3,20,12,FY2021-Q3,False,8,2619.31
148,CUST-000148,2024-09-27,2025-11-15,442.48,1,22,1,FY2024-Q4,True,13,1737.65
149,CUST-000149,2022-05-19,2023-08-25,392.35,1,5,3,FY2022-Q3,False,8,628.07
150,CUST-000150,2022-11-12,2023-10-07,1235.58,1,2,34,FY2023-Q1,False,7,1656.79
151,CUST-000151,2023-02-17,2024-07-13,292.46,1,24,1,FY2023-Q2,True,12,975.65
152,CUST-000152,2023-09-30,2024-11-20,967.83,5,17,3,FY2023-Q4,False,9,4076.34
153,CUST-000153,2025-02-06,2025-05-10,364.75,3,6,29,FY2025-Q2,False,7,1357.37
154,CUST-000154,2025-10-12,2025-12-01,1631.86,5,3,49,FY2026-Q1,False,8,4877.65
155,CUST-000155,2025-05-08,2025-07-30,1312.29,2,3,3,FY2025-Q3,True,8,3192.60
156,CUST-000156,2024-01-24,2024-08-19,280.78,1,16,1,FY2024-Q2,True,14,1215.98
157,CUST-000157,2022-09-20,2025-09-25,4938.23,5,24,3,FY2022-Q4,True,8,17221.98
158,CUST-000158,2023-06-06,2023-11-24,1452.25,2,5,3,FY2023-Q3,False,8,3156.03
159,CUST-000159,2023-08-20,2025-11-10,1929.28,4,27,1,FY2023-Q4,False,12,2656.11
160,CUST-000160,2023-07-04,2025-11-20,974.23,2,1,1,FY2023-Q4,False,14,3098.74
161,CUST-000161,2024-12-22,2025-07-16,2103.38,4,24,2,FY2025-Q1,True,11,5576.36
162,CUST-000162,2022-05-27,2025-05-07,1042.37,5,11,51,FY2022-Q3,False,8,3220.88
163,CUST-000163,2023-03-02,2023-08-18,296.74,1,4,1,FY2023-Q2,True,14,782.44
164,CUST-000164,2025-11-19,2025-12-18,2455.40,2,11,2,FY2026-Q1,True,10,7537.49
165,CUST-000165,2022-04-22,2024-12-27,580.64,1,4,2,FY2022-Q3,True,12,2025.90
166,CUST-000166,2021-10-01,2024-03-25,953.39,2,2,37,FY2022-Q1,True,9,2538.18
167,CUST-000167,2024-11-24,2025-09-21,933.30,3,3,34,FY2025-Q1,False,7,1655.05
168,CUST-000168,2022-11-10,2023-12-10,1923.66,4,29,3,FY2023-Q1,True,9,3346.39
169,CUST-000169,2024-09-17,2025-05-01,1848.54,6,1,24,FY2024-Q4,False,7,5110.33
170,CUST-000170,2021-06-28,2025-07-13,900.51,3,14,4,FY2021-Q3,True,8,3952.70
171,CUST-000171,2024-06-24,2025-10-12,452.15,2,28,7,FY2024-Q3,True,7,1684.74
172,CUST-000172,2023-10-07,2025-03-20,428.77,1,17,4,FY2024-Q1,True,8,1523.90
173,CUST-000173,2024-05-13,2025-09-24,1543.03,5,18,16,FY2024-Q3,False,7,6673.37
174,CUST-000174,2022-02-05,2024-10-20,353.81,3,12,2,FY2022-Q2,False,10,584.96
175,CUST-000175,2022-01-25,2024-01-31,4175.81,7,15,1,FY2022-Q2,True,12,12952.20
176,CUST-000176,2022-07-07,2025-12-22,2853.54,3,1,1,FY2022-Q4,True,12,9954.95
177,CUST-000177,2023-09-09,2025-01-05,586.85,1,24,56,FY2023-Q4,True,8,1399.95
178,CUST-000178,2023-11-30,2024-07-19,594.54,1,24,1,FY2024-Q1,True,12,1878.72
179,CUST-000179,2023-08-21,2024-03-11,178.13,1,2,3,FY2023-Q4,False,10,294.38
180,CUST-000180,2023-08-22,2025-06-06,657.26,4,4,47,FY2023-Q4,True,7,816.36
181,CUST-000181,2021-04-28,2021-10-11,1172.59,4,9,1,FY2021-Q3,False,12,1444.54
182,CUST-000182,2022-12-16,2025-08-15,358.64,1,16,3,FY2023-Q1,True,8,564.17
183,CUST-000183,2021-08-04,2023-12-15,235.47,1,7,13,FY2021-Q4,False,9,730.65
184,CUST-000184,2022-12-19,2025-10-23,1112.16,4,8,33,FY2023-Q1,False,9,1534.86
185,CUST-000185,2021-12-12,2023-02-19,657.48,1,5,3,FY2022-Q1,False,9,979.95
186,CUST-000186,2025-11-11,2025-11-14,11015.78,18,10,2,FY2026-Q1,False,10,43911.63
187,CUST-000187,2022-07-02,2025-08-31,1092.54,1,8,1,FY2022-Q4,False,13,1817.42
188,CUST-000188,2025-08-23,2025-10-27,1319.39,2,9,46,FY2025-Q4,False,9,2119.76
189,CUST-000189,2022-08-21,2023-09-21,3006.68,4,15,5,FY2022-Q4,True,9,7762.03
190,CUST-000190,2025-01-09,2025-05-18,1276.04,1,22,4,FY2025-Q2,True,8,5470.63
191,CUST-000191,2023-06-24,2023-12-18,1161.52,3,7,3,FY2023-Q3,True,10,4115.74
192,CUST-000192,2024-01-28,2025-10-28,476.64,2,20,54,FY2024-Q2,False,7,1892.24
193,CUST-000193,2024-01-03,2025-10-27,4200.08,8,5,5,FY2024-Q2,False,9,16543.89
194,CUST-000194,2023-12-03,2025-10-21,312.63,1,11,2,FY2024-Q1,True,12,647.77
195,CUST-000195,2025-11-13,2025-12-11,525.83,1,17,3,FY2026-Q1,False,10,749.30
196,CUST-000196,2023-06-24,2024-12-29,1880.66,2,34,30,FY2023-Q3,False,7,2968.78
197,CUST-000197,2022-04-29,2025-11-11,1530.87,3,11,2,FY2022-Q3,True,11,4433.17
198,CUST-000198,2025-08-10,2025-11-08,1831.75,4,2,1,FY2025-Q4,True,14,2623.91
199,CUST-000199,2025-01-11,2025-09-12,3779.70,4,11,2,FY2025-Q2,True,12,5614.62
200,CUST-000200,2024-11-23,2025-11-19,1953.45,1,3,9,FY2025-Q1,False,9,6521.01
201,CUST-000201,2021-07-04,2022-04-10,1164.58,4,14,1,FY2021-Q4,True,14,4470.68
202,CUST-000202,2024-12-25,2025-11-14,2342.00,6,15,1,FY2025-Q1,True,12,5266.44
203,CUST-000203,2024-06-01,2025-09-18,999.31,3,18,2,FY2024-Q3,False,10,3440.24
204,CUST-000204,2023-04-27,2024-11-14,125.45,1,14,16,FY2023-Q3,False,9,412.02
205,CUST-000205,2025-11-20,2025-12-20,9702.25,12,11,1,FY2026-Q1,True,12,32859.96
206,CUST-000206,2024-06-10,2025-10-24,764.77,3,2,2,FY2024-Q3,True,10,2224.73
207,CUST-000207,2025-11-14,2025-11-24,613.81,1,8,2,FY2026-Q1,True,10,1783.11
208,CUST-000208,2023-02-14,2025-01-17,321.80,1,8,15,FY2023-Q2,True,7,826.45
209,CUST-000209,2022-01-29,2025-02-24,1120.25,2,11,40,FY2022-Q2,True,7,2299.04
210,CUST-000210,2021-10-23,2022-02-18,1677.29,2,21,5,FY2022-Q1,False,8,5462.26
211,CUST-000211,2022-09-04,2025-05-06,7062.04,4,14,1,FY2022-Q4,False,14,9384.18
212,CUST-000212,2025-09-05,2025-09-25,2093.74,5,12,1,FY2025-Q4,True,13,4934.34
213,CUST-000213,2024-12-03,2025-12-17,2085.28,4,8,1,FY2025-Q1,True,13,4995.27
214,CUST-000214,2023-07-19,2025-06-21,2738.82,9,10,2,FY2023-Q4,True,11,12220.83
215,CUST-000215,2024-05-11,2024-08-23,2765.82,1,14,10,FY2024-Q3,True,8,12122.82
216,CUST-000216,2022-06-01,2025-10-11,3705.54,4,28,30,FY2022-Q3,False,8,4577.62
217,CUST-000217,2024-10-21,2025-09-12,1512.01,5,30,1,FY2025-Q1,True,13,3576.39
218,CUST-000218,2023-03-09,2023-11-10,556.54,1,9,1,FY2023-Q2,True,13,1292.22
219,CUST-000219,2023-03-28,2025-01-17,1393.29,1,25,36,FY2023-Q2,True,8,1982.55
220,CUST-000220,2023-03-08,2024-09-15,3161.91,2,2,46,FY2023-Q2,True,8,6074.88
221,CUST-000221,2022-07-06,2024-10-31,1845.19,2,19,1,FY2022-Q4,True,14,5214.13
222,CUST-000222,2020-07-14,2025-06-14,1809.66,6,3,3,FY2020-Q4,True,10,2366.05
223,CUST-000223,2021-07-19,2023-09-25,295.95,2,4,1,FY2021-Q4,True,14,690.22
224,CUST-000224,2022-10-02,2024-10-14,24796.68,13,12,35,FY2023-Q1,True,9,41993.39
225,CUST-000225,2022-06-02,2024-03-09,913.27,2,10,2,FY2022-Q3,True,12,2776.09
226,CUST-000226,2022-05-10,2024-12-03,2566.74,8,19,3,FY2022-Q3,True,10,5507.01
227,CUST-000227,2025-05-08,2025-09-06,361.29,1,6,6,FY2025-Q3,True,7,1364.67
228,CUST-000228,2025-03-09,2025-08-22,3322.49,12,2,47,FY2025-Q2,True,7,4276.06
229,CUST-000229,2025-06-01,2025-07-07,492.39,2,3,33,FY2025-Q3,True,9,1170.69
230,CUST-000230,2025-03-29,2025-06-30,1586.88,4,12,43,FY2025-Q2,True,7,6118.27
231,CUST-000231,2024-08-10,2024-08-10,2750.52,2,1,2,FY2024-Q4,True,10,10532.66
232,CUST-000232,2024-11-23,2025-11-17,544.42,1,14,11,FY2025-Q1,True,9,1988.04
233,CUST-000233,2025-04-22,2025-10-09,323.72,1,6,14,FY2025-Q3,False,7,484.82
234,CUST-000234,2020-10-04,2023-08-31,1242.39,4,12,1,FY2021-Q1,False,13,4841.50
235,CUST-000235,2023-02-21,2024-12-23,7440.13,11,7,6,FY2023-Q2,True,8,21718.16
236,CUST-000236,2024-05-21,2025-02-20,942.70,1,13,2,FY2024-Q3,True,10,2686.44
237,CUST-000237,2025-10-05,2025-12-10,1800.46,3,7,40,FY2026-Q1,False,7,6255.74
238,CUST-000238,2023-06-18,2025-10-22,99.50,1,26,4,FY2023-Q3,True,6,266.96
239,CUST-000239,2024-11-19,2025-05-05,2437.62,4,2,52,FY2025-Q1,False,7,7140.84
240,CUST-000240,2023-01-18,2025-04-05,160.26,1,22,7,FY2023-Q2,False,7,504.50
241,CUST-000241,2021-04-25,2022-10-09,726.77,3,2,1,FY2021-Q3,True,12,2134.11
242,CUST-000242,2024-07-01,2025-04-18,5359.48,2,4,1,FY2024-Q4,True,13,18060.67
243,CUST-000243,2023-07-06,2025-08-12,352.98,1,18,2,FY2023-Q4,True,11,423.80
244,CUST-000244,2021-09-29,2025-10-08,987.06,3,6,4,FY2021-Q4,False,6,3576.20
245,CUST-000245,2025-06-18,2025-09-26,3790.99,4,2,1,FY2025-Q3,True,13,15555.63
246,CUST-000246,2025-04-08,2025-08-30,799.25,5,7,4,FY2025-Q3,True,8,1541.46
247,CUST-000247,2021-08-30,2025-07-01,1078.57,2,8,1,FY2021-Q4,True,14,1758.33
248,CUST-000248,2022-01-27,2023-03-22,1610.64,2,26,1,FY2022-Q2,True,13,3874.21
249,CUST-000249,2021-08-04,2022-07-23,1918.32,10,5,10,FY2021-Q4,True,9,7700.37
250,CUST-000250,2025-12-14,2025-12-26,233.67,1,5,3,FY2026-Q1,False,8,816.38
251,CUST-000251,2025-04-18,2025-06-08,1020.94,2,25,3,FY2025-Q3,False,8,1853.19
252,CUST-000252,2024-10-20,2025-10-20,1199.96,2,31,3,FY2025-Q1,False,10,2460.33
253,CUST-000253,2024-01-20,2024-09-28,15922.12,22,13,2,FY2024-Q2,True,12,36408.15
254,CUST-000254,2025-05-03,2025-12-06,1501.67,5,28,1,FY2025-Q3,True,12,5405.05
255,CUST-000255,2024-11-01,2025-04-02,5019.81,7,4,21,FY2025-Q1,False,8,16055.84
256,CUST-000256,2025-08-23,2025-10-10,1524.53,4,4,1,FY2025-Q4,True,12,6485.25
257,CUST-000257,2025-04-15,2025-08-23,9186.21,8,21,15,FY2025-Q3,True,9,28361.35
258,CUST-000258,2025-06-14,2025-12-18,5990.94,30,19,51,FY2025-Q3,True,8,15058.42
259,CUST-000259,2023-02-15,2025-03-30,467.01,2,10,1,FY2023-Q2,True,14,1940.95
260,CUST-000260,2021-11-18,2022-08-11,105.86,1,23,1,FY2022-Q1,True,14,144.96
261,CUST-000261,2024-09-03,2025-04-18,726.22,4,10,3,FY2024-Q4,False,8,1457.93
262,CUST-000262,2023-07-10,2023-11-20,2530.34,13,4,8,FY2023-Q4,False,5,8880.21
263,CUST-000263,2022-06-03,2024-09-08,2593.31,6,4,1,FY2022-Q3,True,14,7638.66
264,CUST-000264,2021-03-11,2024-01-21,3500.00,1,14,3,FY2021-Q2,False,9,9888.43
265,CUST-000265,2021-04-15,2023-10-18,1203.86,2,1,1,FY2021-Q3,True,12,2667.33
266,CUST-000266,2025-12-08,2025-12-17,2698.71,2,10,5,FY2026-Q1,False,10,11217.36
267,CUST-000267,2023-05-31,2025-12-20,2745.70,3,8,3,FY2023-Q3,True,10,6824.63
268,CUST-000268,2022-07-21,2025-05-05,302.30,1,3,25,FY2022-Q4,False,7,805.46
269,CUST-000269,2020-10-15,2025-07-12,1012.41,2,27,10,FY2021-Q1,False,7,2328.40
